author,url,text,section,title,sub_title,date
,https://www.oantagonista.com/brasil/cabral-diz-que-fez-tratos-com-ministros-do-stj/,"No depoimento de hoje à Justiça Federal, Sérgio Cabral disse que em 2012 passou a ser achacado por parlamentares federais e teve que fazer tratos com ministros do Superior Tribunal de Justiça e do Tribunal de Contas da União.“O dinheiro a partir de 2012 deixa de ir para o exterior e passa a ser utilizado aqui. E até volta para ser usado na política. Eu fui achacado por parlamentares federais, eu tive que fazer tratos com ministros do TCU e do STJ”, disse, segundo registro da Folha.Em 2012, Cabral enfrentou uma crise política por causa da farra dos guardanapos em Paris.No depoimento de hoje, ele confirmou que indicou para o STJ o ministro Marco Aurélio Bellizze, nomeado em 2011 por Dilma Rousseff.Disse ter atuado por pressão e ameaça de Régis Fichtner, seu ex-chefe da Casa Civil, e abriu mão de indicar Rodrigo Cândido de Oliveira, ex-sócio da mulher, Adriana Anselmo.“Liguei para a presidente Dilma, e ela até disse que estava com o papel na mesa dela para assinar. Tive que fazer esse papelão de barrar o sócio da minha esposa para atender o Régis”, afirmou.",Brasil,Cabral diz que fez ‘tratos’ com ministros do STJ,,05/04/2019 17:00:32
,https://www.oantagonista.com/brasil/as-respostas-de-lula/,"Ao ser interrogado sobre o saque da Sete Brasil, Lula permaneceu calado, como registramos.O responsável pelo interrogatório era o delegado da PF Felipe Hille Pace, que revelou a planilha Amigo no departamento de propinas da Odebrecht.De fato, já temos todas as respostas.",Brasil,As respostas de Lula,,05/04/2019 16:57:05
,https://www.oantagonista.com/mundo/o-cracha-dos-milicianos-de-maduro/,"Os membros dos “coletivos”, as milícias paramilitares que disparam contra a população nos protestos contra a ditadura de Nicolás Maduro, têm crachá de identificação.O crachá “autoriza” o porte de armas de fogo.Leia a reportagem de Duda Teixeira em :",Mundo,O crachá dos milicianos de Maduro,,05/04/2019 17:19:29
,https://www.oantagonista.com/economia/o-campeao-dos-leiloes/,"O Ministério da Infraestrutura leiloou hoje mais seis terminais portuários no Pará, arrecadando quase R$ 450 milhões.Duas áreas foram arrematadas pela Petrobras, por meio da Transpetro e BR Distribuidora.Outras duas ficaram com o grupo Cosan, de Rubens Ometto, através da Petróleo Sabbá (Raízen) e do Consórcio Latitude (Ipiranga e Petróleo Sabbá). A Ipiranga levou outro terminal.Ometto tem sido o grande vitorioso dos leilões do atual governo. Em março, arrematou quatro terminais (Vitória e Paraíba) em consórcio com Ipiranga e BR Distribuidora.Na semana passada, o bilionário venceu o leilão da Ferrovia Norte-Sul, por meio da Rumo, subsidiária da Cosan.Leiam o que já publicamos sobre o tema:",Economia,O campeão dos leilões,,05/04/2019 17:31:54
,https://www.oantagonista.com/brasil/a-briga-na-esquerda-pelo-nordeste/,"Partidos de esquerda se articulam para tentar quebrar nas eleições municipais do ano que vem a quase hegemonia do PT no Nordeste.A ideia é isolar o partido na formação das coligações.Lideranças do PSB e do PDT, por exemplo, não aceitam que a legenda do presidiário ainda domine o cenário político em boa parte da região.",Brasil,A briga na esquerda pelo Nordeste,,05/04/2019 16:23:21
,https://www.oantagonista.com/brasil/a-forca-do-pp/,"A , como registramos há pouco, conta que, alguns dias atrás, em conversa reservada, Rodrigo Maia disse que “sem o PP não tem reforma”.Nos bastidores, algumas lideranças se referem ao líder do partido na Câmara, Arthur Lira, como “o novo Cunha”, em razão do poder de articulação do deputado. O mesmo se diz de Aguinaldo Ribeiro, ex-líder de Michel Temer e atual líder da maioria, com bom trânsito no Planalto.Na retaguarda, monitorando cada passo dessa dupla, está Ciro Nogueira, o senador piauiense que preside o partido e trabalha para que sua turma comande um novo centrão no Congresso.Há quase um ano, uma reportagem publicada na  mostrava em detalhes como o PP é o Partido da Propina. O texto continua atual:",Brasil,A força do PP,,05/04/2019 16:38:52
,https://www.oantagonista.com/brasil/huck-o-capitalismo-e-incrivel-mas-e-que-nem-uma-fera/,"Na Brasil Conference, organizada por Harvard e MIT, Luciano Huck também disse o seguinte:“Eu desconheço qualquer sistema que tenha sido mais eficiente que o capitalismo para resgatar gente da pobreza. Comunismo não deu certo. O capitalismo é incrível, mas é que nem uma fera, um leão. Se você não domar ele direito, ele vai nos devorar.”O problema no Brasil é que há muito domador para pouco leão. ",Brasil,"Huck: “O capitalismo é incrível, mas é que nem uma fera”",,05/04/2019 16:05:53
,https://www.oantagonista.com/brasil/fhc-bolsonaro-diz-que-1964-nao-foi-golpe-porque-ele-nao-estava-la/,"Fernando Henrique Cardoso também está participando da Brazil Conference, evento organizado por estudantes brasileiros de Harvard e do MIT nos EUA.Segundo a Folha, em dado momento, respondendo a uma pergunta, o tucano mencionou o golpe militar de 1964 e emendou:“Agora não se pode mais dizer golpe, porque o presidente atual diz que não foi golpe. Ele diz isso porque ele não estava lá” (Jair Bolsonaro tinha nove anos de idade em 1964).Em maio de 1969, FHC foi “compulsoriamente aposentado” e impedido pelo regime militar de dar aulas na USP.",Brasil,FHC: Bolsonaro diz que 1964 não foi golpe ‘porque ele não estava lá’,,05/04/2019 16:31:18
,https://www.oantagonista.com/brasil/bolsonaro-nao-nasci-para-ser-presidente/,"Jair Bolsonaro fez uma espécie de desabafo em discurso hoje no Planalto, na inauguração do Espaço de Atendimento de Ouvidoria da Presidência, informa o Estadão.“Desculpem as caneladas. Não nasci para ser presidente, nasci para ser militar”, disse o presidente.Em tom de brincadeira, Bolsonaro também afirmou: “Às vezes me pergunto, meu Deus, o que fiz para merecer isso? É só problema”.Mais tarde, depois do evento, o presidente negou que o cargo seja mais difícil do que ele imaginava e afirmou que “sabia das dificuldades, por ser um país grande”.Sobre a fala de que “não nasceu para presidente”, Bolsonaro disse, aos risos, que “tem que se virar para não ser engolido”.",Brasil,Bolsonaro: ‘Não nasci para ser presidente’,,05/04/2019 16:40:07
,https://www.oantagonista.com/brasil/policia-legislativa-nao-comenta-novas-ameacas-a-senador/,"Mais cedo,  revelou  que o senador Marcos do Val, um dos relatores do pacote anticrime de Sergio Moro, voltou a ser ameaçada por meio de um email apócrifo.A Polícia Legislativa, acionada novamente pelo parlamentar, informou, por meio da assessoria do Senado, que não comenta questões relativas à segurança dos senadores.A alegação é que “são questões sensíveis de segurança”.",Brasil,Polícia Legislativa não comenta novas ameaças a senador,,05/04/2019 16:04:03
